t_h,Xylan_gL,Xylose_gL,XOS_gL,X_eng_gL,X_bifido_gL,SCFA_gL,T_C,pH,DO_mgL
28.5,9.976909656359474,0.007828167801874873,0.01393443940483075,18.28651358536705,0.008531616524063852,0.00023714360960046412,30.128968545814807,6.50006608362347,5.590820328004294
28.6,9.976452643431815,0.007982483400310846,0.014217480075712911,18.64680580288004,0.008524156779329134,0.00023904276219048295,30.137154267219806,6.500062957755078,5.575439867665761
28.700000000000003,9.975985768781968,0.00814013900149497,0.014506672709445228,19.014889551787867,0.008516728302298817,0.00024096025643882335,30.14554181024412,6.500059914870164,5.559679312919161
28.8,9.97550878172299,0.008301219925847404,0.01480217295626793,19.390963566017465,0.008509331701711458,0.0002428967004891655,30.154136289420002,6.500056952424354,5.543527000038382
28.900000000000002,9.975021423586284,0.00846581422632931,0.015104141395456462,19.775232928590665,0.008501967607781984,0.00024485272668273573,30.162942981756053,6.500054067945417,5.526970813202007
29.0,9.974523427399971,0.008634012799161582,0.015412743732794455,20.167909327991435,0.008494636673147624,0.00024682899277995,30.171967333266817,6.500051259031008,5.509998162978456
29.1,9.974014517551295,0.008805909500052334,0.01572815100777127,20.56921132723407,0.008487339573864406,0.00024882618325641135,30.181214965824974,6.5000485233464795,5.49259596359704
29.200000000000003,9.973494409432362,0.008981601266196524,0.016050539810963653,20.979364646236238,0.008480077010456779,0.0002508450106777014,30.190691684351158,6.500045858622743,5.474750608939944
29.3,9.972962809068191,0.009161188244394438,0.016380092512206724,21.398602458291556,0.008472849709023832,0.0002528862171587232,30.20040348436164,6.500043262654183,5.456447947164638
29.400000000000002,9.972419412725522,0.009344773925821729,0.016716997500488284,21.827165701865482,0.008465658422407152,0.0002549505759158735,30.21035655990489,6.500040733296645,5.437673253833627
29.5,9.971863906501842,0.009532465287652545,0.017061449435914144,22.26530340817399,0.008458503931422499,0.0002570388929161235,30.220557311898606,6.500038268465453,5.418411203504102
29.6,9.971295965893278,0.009724372941989908,0.017413649514536896,22.713273045585588,0.008451387046159761,0.0002591520086306524,30.23101235689356,6.500035866133488,5.3986458396548604
29.700000000000003,9.970715255340005,0.009920611292593166,0.017773805746902734,23.17134088196916,0.008444308607355991,0.0002612907999013393,30.241728536292705,6.500033524329309,5.378360542828402
