t_s,T_actual,T_target,pid_output,p_heater_w,p_peltier_w,peltier_on,peltier_auto
340.0,35.013,35.0,0.0496,4.96,0.0,0,1
341.0,35.013,35.0,0.0496,4.96,0.0,0,1
342.0,35.013,35.0,0.0496,4.96,0.0,0,1
343.0,35.013,35.0,0.0496,4.96,0.0,0,1
344.0,35.012,35.0,0.0496,4.96,0.0,0,1
345.0,35.012,35.0,0.0496,4.96,0.0,0,1
346.0,35.012,35.0,0.0496,4.96,0.0,0,1
347.0,35.012,35.0,0.0497,4.97,0.0,0,1
348.0,35.012,35.0,0.0497,4.97,0.0,0,1
349.0,35.011,35.0,0.0497,4.97,0.0,0,1
350.0,35.011,35.0,0.0497,4.97,0.0,0,1
351.0,35.011,35.0,0.0497,4.97,0.0,0,1
352.0,35.011,35.0,0.0497,4.97,0.0,0,1
353.0,35.011,35.0,0.0497,4.97,0.0,0,1
354.0,35.011,35.0,0.0497,4.97,0.0,0,1
355.0,35.01,35.0,0.0497,4.97,0.0,0,1
356.0,35.01,35.0,0.0497,4.97,0.0,0,1
357.0,35.01,35.0,0.0497,4.97,0.0,0,1
358.0,35.01,35.0,0.0497,4.97,0.0,0,1
359.0,35.01,35.0,0.0497,4.97,0.0,0,1
360.0,35.009,35.0,0.0497,4.97,0.0,0,1
361.0,35.009,35.0,0.0497,4.97,0.0,0,1
362.0,35.009,35.0,0.0497,4.97,0.0,0,1
363.0,35.009,35.0,0.0497,4.97,0.0,0,1
364.0,35.009,35.0,0.0497,4.97,0.0,0,1
365.0,35.009,35.0,0.0497,4.97,0.0,0,1
366.0,35.009,35.0,0.0497,4.97,0.0,0,1
367.0,35.008,35.0,0.0498,4.98,0.0,0,1
368.0,35.008,35.0,0.0498,4.98,0.0,0,1
369.0,35.008,35.0,0.0498,4.98,0.0,0,1
370.0,35.008,35.0,0.0498,4.98,0.0,0,1
371.0,35.008,35.0,0.0498,4.98,0.0,0,1
372.0,35.008,35.0,0.0498,4.98,0.0,0,1
373.0,35.008,35.0,0.0498,4.98,0.0,0,1
374.0,35.007,35.0,0.0498,4.98,0.0,0,1
